              psi   m1   m2         real(Ai)         imag(Ai)         real(Bi)         imag(Bi)         real(Ci)         imag(Ci)         real(Di)         imag(Di)         real(Ei)         imag(Ei)         real(Hi)         imag(Hi)
   9.99999978E-03   -2    2   2.41782502E-04  -2.23322404E-05  -5.48560522E-04   1.47548586E-03  -1.12986630E-02  -8.38849247E-02  -1.18730927E-03  -5.26981079E-04   1.18807048E-01  -1.36084128E-02   5.76612377E+00  -3.01150292E-01
   9.99999978E-03   -2    3  -1.48227875E-04  -3.91056710E-05  -6.89028297E-04   6.25308545E-04   4.25140969E-02   1.71223897E-02  -4.51125059E-04  -4.67361184E-04   1.68665894E-03   2.15265211E-02  -9.02428985E-01   4.48076129E-02
   9.99999978E-03   -2    4  -5.29901707E-04   5.73752077E-05  -3.25896370E-04  -1.48520188E-03   2.43400019E-02   1.50724232E-01   7.19141332E-04  -1.44953825E-04  -5.54457344E-02   9.93165467E-03  -9.41572964E-01  -5.95335543E-01
   9.99999978E-03   -1   -4  -1.32050300E-02   1.47257384E-03   1.01176684E-03   1.55872302E-02  -1.40809938E-01  -1.59558165E+00  -1.85435154E-02  -1.09118177E-03   2.03678393E+00   5.16347289E-02   5.25369446E+02   1.05634308E+00
   9.99999978E-03   -1   -3   4.49012041E-01  -9.30939791E-07  -1.16095238E-04  -2.86915064E-01   3.42278704E-02   4.66998100E+01   3.93550515E-01   1.92076070E-04  -4.06050720E+01  -2.06273273E-02  -9.48540918E+03   3.87120724E-01
   9.99999978E-03   -1   -2   2.11802082E+01  -1.78154471E-04   1.29848020E-04   6.20905113E+00  -4.03467305E-02   1.22336951E+03  -8.49028587E+00  -3.04707210E-05   8.74720581E+02   4.97063063E-02  -4.67032318E+02   3.35766697E+00
   9.99999978E-03   -1   -1   9.68251419E+01   0.00000000E+00   0.00000000E+00   1.36394119E+02   1.28387034E-01   9.48182755E+01   1.97254883E+02   0.00000000E+00   3.25231247E+01  -2.02355713E-01   1.31291426E+04   0.00000000E+00
   9.99999978E-03   -1    0   4.32577562E+00   2.30739533E-05  -3.01604450E-05   6.20962811E+00   9.90025979E-03   5.16343154E-02  -8.49028587E+00   3.04707210E-05  -8.74720764E+02   4.97360043E-02  -2.18703506E+02  -1.15513349E+00
   9.99999978E-03   -1    1   2.13269815E-01  -7.59957084E-06  -1.37180265E-04  -2.87837148E-01  -1.44784246E-02  -2.99175396E+01   3.93550515E-01  -1.92076070E-04   4.06052094E+01  -2.06650477E-02  -1.23460915E+02  -8.48065596E-03
   9.99999978E-03   -1    2  -1.00182211E-02   3.30909621E-04   1.13762938E-03   1.31832976E-02   7.14117959E-02   1.46977162E+00  -1.85435154E-02   1.09118177E-03  -2.03654528E+00   5.18481322E-02  -9.85453186E+01   2.16435924E-01
   9.99999978E-03   -1    3  -7.36799266E-04  -2.76131061E-04  -7.20668177E-04   2.11601029E-03  -8.56318232E-03  -5.42261042E-02  -1.18730927E-03  -5.26981079E-04   7.98198953E-02  -9.16669611E-03   7.96808386E+00  -4.15916860E-01
   9.99999978E-03   -1    4  -3.70559690E-04  -2.98681960E-04  -8.67279945E-04   7.76942819E-04   3.78100462E-02   1.78585164E-02  -4.51125059E-04  -4.67361184E-04   1.11926300E-03   1.44564118E-02  -9.18205321E-01   4.54771072E-02
   9.99999978E-03    0   -4   2.42494815E-03  -4.96316585E-04  -4.84085147E-04  -2.36766157E-03  -9.05037334E-04   3.57570387E-02  -1.18730927E-03   5.26981079E-04  -4.12143096E-02  -4.62245243E-03  -1.05999422E+01  -5.51852226E-01
   9.99999978E-03    0   -3  -1.19107310E-02   8.33830738E-04   6.53534138E-04   1.51865743E-02  -5.41231222E-02  -8.07464719E-01  -1.85435154E-02  -1.09118177E-03   1.04436958E+00   2.64224559E-02   2.16058624E+02   4.25352544E-01
   9.99999978E-03    0   -2   3.02340984E-01  -1.81933756E-05  -5.27763623E-05  -2.87145585E-01   1.13069005E-02   2.18058510E+01   3.93550515E-01   1.92076070E-04  -2.08192272E+01  -1.05669694E-02  -3.66397559E+03   1.51675284E-01
   9.99999978E-03    0   -1   4.32577562E+00  -2.30739533E-05   8.00042326E-05   6.20933962E+00  -7.79073220E-03   3.15496216E+02  -8.49028587E+00  -3.04707210E-05   4.48491638E+02   2.54784618E-02  -2.18703506E+02   1.15513349E+00
   9.99999978E-03    0    0   6.61558509E-01   0.00000000E+00  -0.00000000E+00  -3.68937165E-01  -3.22623202E-03   3.70245132E+01   1.97254883E+02   0.00000000E+00   3.25231247E+01  -1.03752963E-01   3.46342139E+03   0.00000000E+00
   9.99999978E-03    0    1  -4.31613016E+00  -2.09111222E-05   1.96833389E-05   6.20991659E+00   1.79827716E-02   3.11783234E+02  -8.49028587E+00   3.04707210E-05  -4.48491791E+02   2.55081598E-02  -9.13789520E+01  -2.58379877E-02
   9.99999978E-03    0    2   1.81798548E-01  -7.64478973E-05  -2.00499126E-04  -2.88067669E-01  -1.36795081E-02  -1.32011986E+01   3.93550515E-01  -1.92076070E-04   2.08193645E+01  -1.06046898E-02   1.13613513E+03   4.24631797E-02
   9.99999978E-03    0    3  -9.42000933E-03   8.56906932E-04   1.49586215E-03   1.27826426E-02   5.47644608E-02   7.42873609E-01  -1.85435154E-02   1.09118177E-03  -1.04413080E+00   2.66358592E-02  -1.03838463E+02   2.27233872E-01
   9.99999978E-03    0    4  -1.64004706E-03  -5.26246149E-04  -8.92775774E-04   2.75653484E-03  -4.89727594E-03  -2.66573634E-02  -1.18730927E-03  -5.26981079E-04   4.08327430E-02  -4.72497940E-03   6.18266106E+00  -3.22860301E-01
   9.99999978E-03    1   -4   3.26090754E-04  -4.12505615E-04  -5.58733067E-04  -4.36131435E-04  -8.96525802E-04   8.77061917E-04  -4.51125059E-04   4.67361184E-04  -7.48014354E-05   4.22378886E-04   3.52541767E-02  -5.01533598E-03
   9.99999978E-03    1   -3   1.29569834E-03  -2.35150306E-04  -3.11977550E-04  -1.72713690E-03  -3.15050966E-05   1.89563143E-03  -1.18730927E-03   5.26981079E-04  -2.22715852E-03  -1.80736009E-04  -4.23218191E-01  -2.14393903E-02
   9.99999978E-03    1   -2  -1.08484607E-02   2.32669612E-04   2.95301434E-04   1.47859193E-02  -1.87729474E-03  -3.97310294E-02  -1.85435154E-02  -1.09118177E-03   5.19550592E-02   1.21018360E-03   8.08704662E+00   1.09288224E-03
   9.99999978E-03    1   -1   2.13269815E-01   7.59957084E-06   1.05425115E-05  -2.87376106E-01   2.52286060E-04   9.92122412E-01   3.93550515E-01   1.92076070E-04  -1.03338408E+00  -5.06611774E-04  -1.23460915E+02   8.48065596E-03
   9.99999978E-03    1    0  -4.31613016E+00   2.09111222E-05   3.01604450E-05   6.20962811E+00   2.58689746E-04   1.31846631E+00  -8.49028587E+00  -3.04707210E-05   2.22626743E+01   1.25061814E-03  -9.13789520E+01   2.58379877E-02
   9.99999978E-03    1    1   9.53360748E+01   0.00000000E+00  -0.00000000E+00  -1.37132004E+02  -3.58790904E-03  -2.07692547E+01   1.97254883E+02   0.00000000E+00   3.25231247E+01  -5.15021151E-03   2.46827297E+01   0.00000000E+00
   9.99999978E-03    1    2  -4.74550819E+00   4.61992386E-05   6.95271228E-05   6.21020508E+00   1.55870826E-03   2.98192883E+01  -8.49028587E+00   3.04707210E-05  -2.22628460E+01   1.28031569E-03  -8.50586624E+01   3.02193090E-02
   9.99999978E-03    1    3   2.07927153E-01  -1.88351609E-04  -2.63818016E-04  -2.88298190E-01  -1.01423846E-03  -5.65090060E-01   3.93550515E-01  -1.92076070E-04   1.03352141E+00  -5.44332026E-04   1.14812637E+02   1.15621754E-03
   9.99999978E-03    1    4  -9.05382819E-03   1.34532235E-03   1.85409479E-03   1.23819867E-02   3.67613416E-03   3.63588743E-02  -1.85435154E-02   1.09118177E-03  -5.17163835E-02   1.42358744E-03  -7.79238224E+00   3.13009694E-02
   9.99999978E-03    2   -4  -1.06569054E-03  -2.15151231E-04  -2.70825782E-04   1.11801608E-03   6.82840683E-03  -4.59862202E-02   7.19141332E-04   1.44953825E-04  -1.71499830E-02  -3.06862313E-03  -5.11345685E-01   3.15250069E-01
   9.99999978E-03    2   -3   8.39889326E-05  -1.97956848E-04  -3.80481448E-04  -2.84497160E-04   1.24216741E-02  -1.22144278E-02  -4.51125059E-04   4.67361184E-04   4.92594554E-04  -6.64773118E-03  -5.84609151E-01  -3.13203558E-02
   9.99999978E-03    2   -2   2.41782502E-04   2.23322404E-05  -1.39869924E-04  -1.08661235E-03   1.77245284E-03  -2.98757013E-02  -1.18730927E-03   5.26981079E-04   3.67599949E-02   4.26098052E-03   5.76612377E+00   3.01150292E-01
   9.99999978E-03    2   -1  -1.00182211E-02  -3.30909621E-04  -6.29312708E-05   1.43852634E-02   1.59275476E-02   7.07619369E-01  -1.85435154E-02  -1.09118177E-03  -9.40459430E-01  -2.40020882E-02  -9.85453186E+01  -2.16435924E-01
   9.99999978E-03    2    0   1.81798548E-01   7.64478973E-05   7.38613817E-05  -2.87606627E-01   1.06402603E-03  -1.57413740E+01   3.93550515E-01   1.92076070E-04   1.87524586E+01   9.55374632E-03   1.13613513E+03  -4.24631797E-02
   9.99999978E-03    2    1  -4.74550819E+00  -4.61992386E-05  -1.96833389E-05   6.20991659E+00  -1.61984637E-02   2.80836243E+02  -8.49028587E+00  -3.04707210E-05  -4.03966278E+02  -2.29772255E-02  -8.50586624E+01  -3.02193090E-02
   9.99999978E-03    2    2   3.80848694E+02   0.00000000E+00  -0.00000000E+00  -2.73895050E+02   1.27301991E-01  -7.85630264E+01   1.97254883E+02   0.00000000E+00   3.25231247E+01   9.34525356E-02   2.81292676E+03   0.00000000E+00
   9.99999978E-03    2    3   3.03764081E+00   2.24405041E-04   1.19370910E-04   6.21049356E+00  -3.93719301E-02  -8.45840149E+02  -8.49028587E+00   3.04707210E-05   4.03966125E+02  -2.29475275E-02  -1.99742645E+02  -9.86961544E-01
   9.99999978E-03    2    4   2.91655630E-01  -3.43310705E-04  -3.27136891E-04  -2.88528711E-01   2.35173851E-02   7.99078703E+00   3.93550515E-01  -1.92076070E-04  -1.87523212E+01   9.51602589E-03  -3.18742847E+03  -1.32401541E-01
   9.99999978E-03    3   -4  -2.04464101E-04  -6.27206609E-05  -1.99876769E-04  -4.96018736E-04  -2.66629402E-02  -4.26461399E-02  -7.84339441E-04   2.12040293E-04  -1.86809730E-02   8.30211304E-03   4.25852448E-01   2.97798011E-02
   9.99999978E-03    3   -3  -8.96688027E-04  -1.50625565E-04  -1.96235502E-04   7.92613893E-04   1.03436885E-02  -7.07494989E-02   7.19141332E-04   1.44953825E-04  -3.53473723E-02  -6.32980093E-03  -8.28677118E-01   5.21838367E-01
   9.99999978E-03    3   -2  -1.48227875E-04   3.91056710E-05  -2.02229814E-04  -1.32862871E-04   1.67321004E-02  -1.91297084E-02  -4.51125059E-04   4.67361184E-04   1.05999061E-03  -1.37178404E-02  -9.02428985E-01  -4.48076129E-02
   9.99999978E-03    3   -1  -7.36799266E-04   2.76131061E-04   3.22376873E-05  -4.46087826E-04   4.50683618E-03  -5.95569573E-02  -1.18730927E-03   5.26981079E-04   7.57471472E-02   8.70269723E-03   7.96808386E+00   4.15916860E-01
   9.99999978E-03    3    0  -9.42000933E-03  -8.56906932E-04  -4.21163975E-04   1.39846085E-02  -7.08597712E-04   1.43458652E+00  -1.85435154E-02  -1.09118177E-03  -1.93287385E+00  -4.92143594E-02  -1.03838463E+02  -2.27233872E-01
   9.99999978E-03    3    1   2.07927153E-01   1.88351609E-04   1.37180265E-04  -2.87837148E-01   1.37421200E-02  -2.83946400E+01   3.93550515E-01   1.92076070E-04   3.85383034E+01   1.96141042E-02   1.14812637E+02  -1.15621754E-03
   9.99999978E-03    3    2   3.03764081E+00  -2.24405041E-04  -6.95271228E-05   6.21020508E+00  -5.71621954E-02   1.15404956E+03  -8.49028587E+00  -3.04707210E-05  -8.30195251E+02  -4.72050682E-02  -1.99742645E+02   9.86961544E-01
   9.99999978E-03    3    3   8.57199402E+02   0.00000000E+00  -0.00000000E+00  -4.10658112E+02   3.89443487E-01  -1.36356796E+02   1.97254883E+02   0.00000000E+00   3.25231247E+01   1.92055285E-01   1.18281533E+04   0.00000000E+00
   9.99999978E-03    3    4   1.90333176E+01   5.13706298E-04   1.69214691E-04   6.21078205E+00  -1.04809143E-01  -2.31519507E+03  -8.49028587E+00   3.04707210E-05   8.30195068E+02  -4.71753702E-02  -4.35430878E+02  -3.07738066E+00
   9.99999978E-03    4   -4  -1.56646129E-03  -9.75607254E-05   3.25393776E-04   6.96527015E-04   8.28860886E-03  -8.78879055E-03   4.19167744E-04  -3.45013686E-04  -7.20844697E-03  -5.64191537E-03   1.88307822E-01  -8.88301134E-01
   9.99999978E-03    4   -3  -5.70991950E-04   3.65024534E-05  -1.29617445E-04  -2.84291076E-04  -3.05528026E-02  -4.77137193E-02  -7.84339441E-04   2.12040293E-04  -2.82395594E-02   1.25537412E-02   5.19476235E-01   3.46651934E-02
   9.99999978E-03    4   -2  -5.29901707E-04  -5.73752077E-05  -1.21645237E-04   4.67211619E-04   1.00603867E-02  -7.10037500E-02   7.19141332E-04   1.44953825E-04  -5.35447635E-02  -9.59097873E-03  -9.41572964E-01   5.95335543E-01
   9.99999978E-03    4   -1  -3.70559690E-04   2.98681960E-04  -2.39781912E-05   1.87714068E-05   1.20347552E-02  -1.98687781E-02  -4.51125059E-04   4.67361184E-04   1.62738655E-03  -2.07879506E-02  -9.18205321E-01  -4.54771072E-02
   9.99999978E-03    4    0  -1.64004706E-03   5.26246149E-04   2.04345299E-04   1.94436710E-04   8.17164592E-03  -8.71481374E-02  -1.18730927E-03   5.26981079E-04   1.14734299E-01   1.31444139E-02   6.18266106E+00   3.22860301E-01
   9.99999978E-03    4    1  -9.05382819E-03  -1.34532235E-03  -7.79396680E-04   1.35839535E-02  -5.17857298E-02   2.14117026E+00  -1.85435154E-02  -1.09118177E-03  -2.92528844E+00  -7.44266286E-02  -7.79238224E+00  -3.13009694E-02
   9.99999978E-03    4    2   2.91655630E-01   3.43310705E-04   2.00499126E-04  -2.88067669E-01   3.82865705E-02  -3.69676743E+01   3.93550515E-01   1.92076070E-04   5.83241463E+01   2.96744611E-02  -3.18742847E+03   1.32401541E-01
   9.99999978E-03    4    3   1.90333176E+01  -5.13706298E-04  -1.19370910E-04   6.21049356E+00  -1.22632504E-01   2.62095825E+03  -8.49028587E+00  -3.04707210E-05  -1.25642419E+03  -7.14329109E-02  -4.35430878E+02   3.07738066E+00
   9.99999978E-03    4    4   1.52438818E+03   0.00000000E+00  -0.00000000E+00  -5.47421204E+02   7.82836556E-01  -1.94150558E+02   1.97254883E+02   0.00000000E+00   3.25231247E+01   2.90658027E-01   2.70703633E+04   0.00000000E+00
   1.01475790E-02   -4   -4   1.53038721E+03   0.00000000E+00   0.00000000E+00   5.46660522E+02   2.10211682E+00   2.67888824E+02   1.97262100E+02   0.00000000E+00   3.24106064E+01  -8.07129383E-01   7.83401719E+04   0.00000000E+00
   1.01475790E-02   -4   -3   8.01111069E+01   7.70779676E-04  -1.78697694E-04   6.25460243E+00  -6.25819862E-01  -4.46472119E+03  -8.55296040E+00   3.92264374E-05  -2.13780884E+03   3.56660306E-01  -1.31424243E+03  -1.80263424E+01
   1.01475790E-02   -4   -2   6.62794232E-01  -6.85849518E-05   5.36534826E-05  -2.91409105E-01  -9.56785306E-02  -1.04728058E+02   3.99391621E-01  -1.96694135E-04   9.98521652E+01   4.34460789E-02  -1.73321504E+04   3.89014196E+00
   1.01475790E-02   -4   -1  -1.34547483E-02  -1.50364370E-03   6.65112893E-05   1.47089725E-02  -4.30509485E-02   3.72025752E+00  -1.89842563E-02   1.10764452E-03  -5.15574646E+00   6.85367808E-02   5.20205750E+02   1.12348676E+00
   1.01475790E-02   -4    0   2.44231848E-03   5.08242811E-04  -2.10001759E-04   1.77920956E-04  -9.76905040E-03  -1.54273584E-01  -1.16518582E-03  -5.42698952E-04   1.89514324E-01  -1.38433203E-01  -1.15206366E+01   4.30076808E-01
   1.01475790E-02   -4    1   3.14858713E-04   4.12757334E-04  -3.30852781E-04   3.15195357E-04  -1.12951258E-02  -3.75421047E-02  -4.41442331E-04  -4.65065794E-04   5.27899526E-02  -1.67302731E-02   2.61870474E-02  -3.91914882E-02
   1.01475790E-02   -4    2  -1.08562876E-03   2.10816026E-04  -1.70566898E-04  -8.20993388E-04   4.86024097E-03   4.75770868E-02   7.04089005E-04  -1.39143580E-04  -3.73662747E-02   5.53332549E-03  -6.21688545E-01   8.77109915E-02
   1.01475790E-02   -4    3  -2.33493280E-04   7.30999091E-05  -3.06344766E-04   9.91412089E-04  -1.60682090E-02   1.70880463E-02  -7.90535240E-04  -2.21936891E-04  -1.44734792E-02  -6.62790937E-03   8.16357881E-02   3.67359787E-01
   1.01475790E-02   -4    4  -1.64888229E-03   9.55864016E-05   6.07730180E-04  -9.26670909E-04   1.03763618E-01  -4.99067605E-02   4.32983768E-04   3.55334021E-04   1.25220772E-02   3.84580642E-02  -4.27469045E-01   1.17275918E+00
   1.01475790E-02   -3   -4   8.01111069E+01  -7.70779676E-04   2.29876125E-04   6.25431395E+00  -6.77329540E-01   4.78539795E+03  -8.55296040E+00  -3.92264374E-05   1.71466992E+03   2.86038756E-01  -1.31424243E+03   1.80263424E+01
   1.01475790E-02   -3   -3   8.61703186E+02   0.00000000E+00   0.00000000E+00   4.09901794E+02   1.25860214E+00   2.10173218E+02   1.97262100E+02   0.00000000E+00   3.24106064E+01  -6.47373378E-01   5.04031250E+04   0.00000000E+00
   1.01475790E-02   -3   -2   4.65871925E+01   4.13917063E-04  -1.27519248E-04   6.25489140E+00  -3.26455146E-01  -2.38707422E+03  -8.55296040E+00   3.92264374E-05  -1.71467017E+03   2.86069155E-01  -8.28491455E+02  -1.08853025E+01
   1.01475790E-02   -3   -1   4.55578953E-01  -3.40055999E-06  -1.10587225E-05  -2.91642487E-01  -4.32482474E-02  -7.56669617E+01   3.99391621E-01  -1.96694135E-04   8.00883331E+01   3.48429456E-02  -9.34762695E+03   2.10017848E+00
   1.01475790E-02   -3    0  -1.21532995E-02  -8.48007505E-04   4.28861211E-04   1.43076684E-02   1.90371659E-03   3.00370812E+00  -1.89842563E-02   1.10764452E-03  -4.13524055E+00   5.49925268E-02   2.13930710E+02   4.66745466E-01
   1.01475790E-02   -3    1   1.30862987E-03   2.43219009E-04  -3.87653941E-04   8.18743720E-04  -7.75744990E-02  -1.11774012E-01  -1.16518582E-03  -5.42698952E-04   1.51965871E-01  -1.11043409E-01  -4.62310553E-01  -2.49824510E-03
   1.01475790E-02   -3    2   6.56685806E-05   2.00148963E-04  -5.08868659E-04   4.62192664E-04  -2.35190298E-02  -4.65157405E-02  -4.41442331E-04  -4.65065794E-04   4.23325412E-02  -1.34292990E-02  -2.87382811E-01   4.87685561E-01
   1.01475790E-02   -3    3  -9.32913856E-04   1.48287581E-04  -2.43155737E-04  -1.14388007E-03   4.58162418E-03   5.52692898E-02   7.04089005E-04  -1.39143580E-04  -2.99513433E-02   4.43384098E-03  -1.01988482E+00   1.44383699E-01
   1.01475790E-02   -3    4  -6.06337679E-04  -2.99442963E-05  -3.80285259E-04   1.20355689E-03  -1.75119415E-02   1.63872242E-02  -7.90535240E-04  -2.21936891E-04  -1.16212005E-02  -5.32038743E-03   9.93888155E-02   4.46432024E-01
   1.01475790E-02   -2   -4   6.62794232E-01   6.85849518E-05  -1.83077893E-04  -2.90942371E-01  -1.08289517E-01   7.58871231E+01   3.99391621E-01   1.96694135E-04  -6.03243637E+01   2.62782574E-02  -1.73321504E+04  -3.89014196E+00
   1.01475790E-02   -2   -3   4.65871925E+01  -4.13917063E-04   1.78697694E-04   6.25460243E+00  -3.77996475E-01   2.70529395E+03  -8.55296040E+00  -3.92264374E-05   1.29153113E+03   2.15447605E-01  -8.28491455E+02   1.08853025E+01
   1.01475790E-02   -2   -2   3.83855865E+02   0.00000000E+00   0.00000000E+00   2.73143066E+02   6.26051247E-01   1.52457611E+02   1.97262100E+02   0.00000000E+00   3.24106064E+01  -4.87617433E-01   2.86030352E+04   0.00000000E+00
   1.01475790E-02   -2   -1   2.13360634E+01   1.63594435E-04  -7.63408170E-05   6.25517988E+00  -1.13703825E-01  -8.98817932E+02  -8.55296040E+00   3.92264374E-05  -1.29153137E+03   2.15478018E-01  -4.62611938E+02  -5.50649643E+00
   1.01475790E-02   -2    0   3.06793094E-01   1.67850685E-05  -7.57709277E-05  -2.91875869E-01  -7.35092303E-03  -5.07199097E+01   3.99391621E-01  -1.96694135E-04   6.03245010E+01   2.62398124E-02  -3.61083179E+03   8.14108729E-01
   1.01475790E-02   -2    1  -1.10859089E-02  -2.33514234E-04   7.91211147E-04   1.39063653E-02   2.88824607E-02   2.27738547E+00  -1.89842563E-02   1.10764452E-03  -3.11473441E+00   4.14482728E-02   7.99921608E+00   2.51694992E-02
   1.01475790E-02   -2    2   2.51842575E-04  -1.97875615E-05  -5.65306109E-04   1.45956641E-03  -1.10963807E-01  -7.51701668E-02  -1.16518582E-03  -5.42698952E-04   1.14417426E-01  -8.36536288E-02   6.26326370E+00  -2.65586495E-01
   1.01475790E-02   -2    3  -1.66877624E-04  -3.57502759E-05  -6.86884567E-04   6.09189970E-04  -2.86118668E-02  -4.73910607E-02  -4.41442331E-04  -4.65065794E-04   3.18751261E-02  -1.01283239E-02  -4.48160529E-01   7.57832944E-01
