
   ising   psi         q          di      re alpha   im alpha

     1  7.971E-01  2.000E+00 -2.667E-01  5.165E-01 -0.000E+00


   is    psifac      dpsi        q       singfac     eval1

   79  2.961E-02  1.000E-05  1.057E+00  9.434E-01  2.483E+00
   80  2.980E-02  1.823E-04  1.057E+00  9.433E-01  2.506E+00
   81  2.998E-02  1.823E-04  1.057E+00  9.433E-01  2.528E+00
   82  3.016E-02  1.823E-04  1.057E+00  9.432E-01  2.551E+00
   83  3.047E-02  3.073E-04  1.057E+00  9.432E-01  2.590E+00
   84  3.077E-02  3.073E-04  1.057E+00  9.431E-01  2.628E+00
   85  3.108E-02  3.073E-04  1.057E+00  9.430E-01  2.667E+00
   86  3.139E-02  3.073E-04  1.057E+00  9.430E-01  2.705E+00
   87  3.176E-02  3.709E-04  1.057E+00  9.429E-01  2.752E+00
   88  3.213E-02  3.709E-04  1.057E+00  9.428E-01  2.798E+00
   89  3.250E-02  3.709E-04  1.057E+00  9.427E-01  2.845E+00
   90  3.287E-02  3.709E-04  1.057E+00  9.426E-01  2.891E+00
   91  3.350E-02  6.292E-04  1.058E+00  9.425E-01  2.970E+00
   92  3.413E-02  6.292E-04  1.058E+00  9.423E-01  3.048E+00
   93  3.476E-02  6.292E-04  1.058E+00  9.422E-01  3.127E+00
   94  3.539E-02  6.292E-04  1.058E+00  9.420E-01  3.205E+00
   95  3.602E-02  6.292E-04  1.058E+00  9.419E-01  3.284E+00
   96  3.679E-02  7.685E-04  1.058E+00  9.417E-01  3.380E+00
   97  3.756E-02  7.685E-04  1.058E+00  9.415E-01  3.475E+00
   98  3.832E-02  7.685E-04  1.059E+00  9.413E-01  3.571E+00
   99  3.909E-02  7.685E-04  1.059E+00  9.411E-01  3.667E+00
  100  3.986E-02  7.685E-04  1.059E+00  9.409E-01  3.762E+00
  101  4.063E-02  7.685E-04  1.059E+00  9.408E-01  3.857E+00
  102  4.228E-02  1.646E-03  1.060E+00  9.403E-01  4.062E+00
  103  4.392E-02  1.646E-03  1.060E+00  9.399E-01  4.266E+00
  104  4.557E-02  1.646E-03  1.060E+00  9.395E-01  4.469E+00
  105  4.721E-02  1.646E-03  1.061E+00  9.391E-01  4.672E+00
  106  4.886E-02  1.646E-03  1.061E+00  9.387E-01  4.875E+00
  107  5.051E-02  1.646E-03  1.062E+00  9.383E-01  5.078E+00
  108  5.215E-02  1.646E-03  1.062E+00  9.379E-01  5.281E+00
  109  5.380E-02  1.646E-03  1.063E+00  9.375E-01  5.483E+00
  110  5.545E-02  1.646E-03  1.063E+00  9.370E-01  5.684E+00
  111  5.709E-02  1.646E-03  1.063E+00  9.366E-01  5.886E+00
  112  5.874E-02  1.646E-03  1.064E+00  9.362E-01  6.087E+00
  113  6.038E-02  1.646E-03  1.064E+00  9.357E-01  6.288E+00
  114  6.203E-02  1.646E-03  1.065E+00  9.353E-01  6.488E+00
  115  6.335E-02  1.323E-03  1.065E+00  9.349E-01  6.649E+00
  116  6.444E-02  1.090E-03  1.065E+00  9.346E-01  6.782E+00
  117  6.553E-02  1.090E-03  1.066E+00  9.343E-01  6.914E+00
  118  6.662E-02  1.090E-03  1.066E+00  9.341E-01  7.046E+00
  119  6.771E-02  1.090E-03  1.066E+00  9.338E-01  7.178E+00
  120  6.881E-02  1.090E-03  1.067E+00  9.335E-01  7.310E+00

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    121, psi = 6.990E-02, q =  1.067

   is    psifac      dpsi        q       singfac     eval1

  121  6.990E-02  1.090E-03  1.067E+00  9.332E-01  7.442E+00
  122  6.991E-02  1.000E-05  1.067E+00  9.332E-01  7.444E+00
  123  6.992E-02  1.000E-05  1.067E+00  9.332E-01  7.445E+00
  124  7.014E-02  2.278E-04  1.067E+00  9.331E-01  7.472E+00
  125  7.037E-02  2.278E-04  1.067E+00  9.330E-01  7.500E+00
  126  7.060E-02  2.278E-04  1.067E+00  9.330E-01  7.527E+00
  127  7.149E-02  8.876E-04  1.067E+00  9.327E-01  7.634E+00
  128  7.237E-02  8.876E-04  1.068E+00  9.325E-01  7.742E+00
  129  7.326E-02  8.876E-04  1.068E+00  9.322E-01  7.849E+00
  130  7.415E-02  8.876E-04  1.068E+00  9.320E-01  7.955E+00
  131  7.523E-02  1.082E-03  1.068E+00  9.317E-01  8.086E+00
  132  7.631E-02  1.082E-03  1.069E+00  9.314E-01  8.216E+00
  133  7.740E-02  1.082E-03  1.069E+00  9.311E-01  8.346E+00
  134  7.848E-02  1.082E-03  1.069E+00  9.308E-01  8.475E+00
  135  7.956E-02  1.082E-03  1.070E+00  9.305E-01  8.605E+00
  136  8.113E-02  1.569E-03  1.070E+00  9.300E-01  8.793E+00
  137  8.270E-02  1.569E-03  1.070E+00  9.296E-01  8.980E+00
  138  8.427E-02  1.569E-03  1.071E+00  9.291E-01  9.168E+00
  139  8.584E-02  1.569E-03  1.071E+00  9.287E-01  9.355E+00
  140  8.741E-02  1.569E-03  1.072E+00  9.282E-01  9.541E+00
  141  8.957E-02  2.164E-03  1.072E+00  9.276E-01  9.798E+00
  142  9.174E-02  2.164E-03  1.073E+00  9.269E-01  1.005E+01
  143  9.390E-02  2.164E-03  1.074E+00  9.263E-01  1.031E+01
  144  9.606E-02  2.164E-03  1.074E+00  9.256E-01  1.057E+01
  145  9.823E-02  2.164E-03  1.075E+00  9.250E-01  1.082E+01
  146  1.004E-01  2.164E-03  1.076E+00  9.243E-01  1.108E+01
  147  1.036E-01  3.193E-03  1.077E+00  9.233E-01  1.145E+01
  148  1.068E-01  3.193E-03  1.078E+00  9.223E-01  1.182E+01
  149  1.100E-01  3.193E-03  1.079E+00  9.213E-01  1.220E+01
  150  1.132E-01  3.193E-03  1.080E+00  9.203E-01  1.257E+01
  151  1.164E-01  3.193E-03  1.081E+00  9.192E-01  1.294E+01
  152  1.196E-01  3.193E-03  1.082E+00  9.182E-01  1.331E+01
  153  1.227E-01  3.193E-03  1.083E+00  9.171E-01  1.367E+01
  154  1.259E-01  3.193E-03  1.084E+00  9.161E-01  1.404E+01
  155  1.291E-01  3.193E-03  1.085E+00  9.150E-01  1.440E+01
  156  1.323E-01  3.193E-03  1.086E+00  9.139E-01  1.477E+01
  157  1.355E-01  3.193E-03  1.087E+00  9.128E-01  1.513E+01
  158  1.387E-01  3.193E-03  1.088E+00  9.117E-01  1.549E+01
  159  1.419E-01  3.193E-03  1.089E+00  9.105E-01  1.585E+01
  160  1.451E-01  3.193E-03  1.091E+00  9.094E-01  1.621E+01
  161  1.483E-01  3.193E-03  1.092E+00  9.082E-01  1.657E+01
  162  1.522E-01  3.861E-03  1.093E+00  9.068E-01  1.700E+01
  163  1.560E-01  3.861E-03  1.095E+00  9.054E-01  1.743E+01
  164  1.599E-01  3.861E-03  1.096E+00  9.039E-01  1.786E+01

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    165, psi = 1.637E-01, q =  1.096

   is    psifac      dpsi        q       singfac     eval1

  165  1.637E-01  3.861E-03  1.098E+00  9.025E-01  1.829E+01
  166  1.637E-01  1.000E-05  1.098E+00  9.025E-01  1.829E+01
  167  1.638E-01  1.000E-05  1.098E+00  9.025E-01  1.829E+01
  168  1.643E-01  4.980E-04  1.098E+00  9.023E-01  1.835E+01
  169  1.648E-01  4.980E-04  1.098E+00  9.021E-01  1.840E+01
  170  1.653E-01  4.980E-04  1.098E+00  9.019E-01  1.846E+01
  171  1.672E-01  1.919E-03  1.099E+00  9.011E-01  1.867E+01
  172  1.691E-01  1.919E-03  1.100E+00  9.004E-01  1.888E+01
  173  1.710E-01  1.919E-03  1.100E+00  8.996E-01  1.909E+01
  174  1.729E-01  1.919E-03  1.101E+00  8.989E-01  1.930E+01
  175  1.753E-01  2.349E-03  1.102E+00  8.979E-01  1.955E+01
  176  1.776E-01  2.349E-03  1.103E+00  8.970E-01  1.981E+01
  177  1.800E-01  2.349E-03  1.104E+00  8.961E-01  2.006E+01
  178  1.823E-01  2.349E-03  1.105E+00  8.951E-01  2.032E+01
  179  1.847E-01  2.349E-03  1.106E+00  8.941E-01  2.057E+01
  180  1.881E-01  3.424E-03  1.107E+00  8.927E-01  2.094E+01
  181  1.915E-01  3.424E-03  1.109E+00  8.913E-01  2.131E+01
  182  1.949E-01  3.424E-03  1.110E+00  8.898E-01  2.167E+01
  183  1.984E-01  3.424E-03  1.112E+00  8.883E-01  2.204E+01
  184  2.018E-01  3.424E-03  1.113E+00  8.869E-01  2.240E+01
  185  2.064E-01  4.599E-03  1.115E+00  8.848E-01  2.289E+01
  186  2.110E-01  4.599E-03  1.117E+00  8.828E-01  2.337E+01
  187  2.156E-01  4.599E-03  1.119E+00  8.807E-01  2.385E+01
  188  2.202E-01  4.599E-03  1.121E+00  8.786E-01  2.433E+01
  189  2.248E-01  4.599E-03  1.124E+00  8.764E-01  2.480E+01
  190  2.294E-01  4.599E-03  1.126E+00  8.742E-01  2.528E+01
  191  2.362E-01  6.799E-03  1.129E+00  8.710E-01  2.597E+01
  192  2.430E-01  6.799E-03  1.132E+00  8.676E-01  2.666E+01
  193  2.498E-01  6.799E-03  1.136E+00  8.642E-01  2.734E+01
  194  2.566E-01  6.799E-03  1.139E+00  8.606E-01  2.802E+01
  195  2.634E-01  6.799E-03  1.143E+00  8.571E-01  2.869E+01
  196  2.702E-01  6.799E-03  1.147E+00  8.534E-01  2.935E+01
  197  2.770E-01  6.799E-03  1.150E+00  8.496E-01  3.001E+01
  198  2.825E-01  5.533E-03  1.153E+00  8.465E-01  3.054E+01
  199  2.871E-01  4.588E-03  1.156E+00  8.439E-01  3.098E+01
  200  2.917E-01  4.588E-03  1.159E+00  8.412E-01  3.142E+01
  201  2.963E-01  4.588E-03  1.161E+00  8.385E-01  3.185E+01
  202  3.009E-01  4.588E-03  1.164E+00  8.358E-01  3.228E+01
  203  3.055E-01  4.588E-03  1.167E+00  8.330E-01  3.271E+01
  204  3.100E-01  4.588E-03  1.170E+00  8.302E-01  3.313E+01
  205  3.146E-01  4.588E-03  1.173E+00  8.273E-01  3.355E+01
  206  3.192E-01  4.588E-03  1.176E+00  8.244E-01  3.397E+01
  207  3.238E-01  4.588E-03  1.179E+00  8.214E-01  3.438E+01
  208  3.284E-01  4.588E-03  1.182E+00  8.184E-01  3.480E+01
  209  3.330E-01  4.588E-03  1.185E+00  8.154E-01  3.520E+01
  210  3.376E-01  4.588E-03  1.188E+00  8.123E-01  3.561E+01
