
   ising   psi         q          di      re alpha   im alpha

     1  7.971E-01  2.000E+00 -2.667E-01  5.165E-01 -0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  348  7.967E-01  2.995E-05  1.998E+00  1.689E-03  5.631E+01
  349  7.967E-01  2.995E-05  1.998E+00  1.563E-03  5.631E+01
  350  7.968E-01  2.995E-05  1.999E+00  1.436E-03  5.631E+01
  351  7.968E-01  2.368E-05  1.999E+00  1.337E-03  5.631E+01
  352  7.968E-01  2.368E-05  1.999E+00  1.237E-03  5.631E+01
  353  7.968E-01  2.368E-05  1.999E+00  1.137E-03  5.631E+01
  354  7.969E-01  1.876E-05  1.999E+00  1.058E-03  5.630E+01
  355  7.969E-01  1.876E-05  1.999E+00  9.790E-04  5.630E+01
  356  7.969E-01  1.876E-05  1.999E+00  9.000E-04  5.630E+01
  357  7.969E-01  1.484E-05  1.999E+00  8.374E-04  5.630E+01
  358  7.969E-01  1.484E-05  1.999E+00  7.748E-04  5.630E+01
  359  7.969E-01  1.484E-05  1.999E+00  7.123E-04  5.630E+01
  360  7.970E-01  1.175E-05  1.999E+00  6.627E-04  5.630E+01
  361  7.970E-01  1.175E-05  1.999E+00  6.132E-04  5.630E+01
  362  7.970E-01  1.175E-05  1.999E+00  5.636E-04  5.630E+01
  363  7.970E-01  9.295E-06  1.999E+00  5.244E-04  5.630E+01
  364  7.970E-01  9.295E-06  2.000E+00  4.852E-04  5.630E+01
  365  7.970E-01  9.295E-06  2.000E+00  4.460E-04  5.630E+01
  366  7.970E-01  7.359E-06  2.000E+00  4.150E-04  5.630E+01
  367  7.970E-01  7.359E-06  2.000E+00  3.839E-04  5.630E+01
  368  7.970E-01  7.359E-06  2.000E+00  3.529E-04  5.630E+01
  369  7.970E-01  5.820E-06  2.000E+00  3.283E-04  5.630E+01
  370  7.970E-01  5.820E-06  2.000E+00  3.038E-04  5.630E+01
  371  7.970E-01  5.820E-06  2.000E+00  2.792E-04  5.630E+01
  372  7.971E-01  4.607E-06  2.000E+00  2.598E-04  5.630E+01
  373  7.971E-01  4.607E-06  2.000E+00  2.404E-04  5.630E+01
  374  7.971E-01  4.607E-06  2.000E+00  2.209E-04  5.630E+01
  375  7.971E-01  3.644E-06  2.000E+00  2.056E-04  5.630E+01
  376  7.971E-01  3.644E-06  2.000E+00  1.902E-04  5.630E+01
  377  7.971E-01  3.644E-06  2.000E+00  1.748E-04  5.630E+01
  378  7.971E-01  2.884E-06  2.000E+00  1.626E-04  5.630E+01
  379  7.971E-01  2.884E-06  2.000E+00  1.505E-04  5.630E+01
  380  7.971E-01  2.884E-06  2.000E+00  1.383E-04  5.630E+01
  381  7.971E-01  2.281E-06  2.000E+00  1.287E-04  5.630E+01
  382  7.971E-01  2.281E-06  2.000E+00  1.191E-04  5.630E+01
  383  7.971E-01  2.281E-06  2.000E+00  1.094E-04  5.630E+01
  384  7.971E-01  1.789E-06  2.000E+00  1.019E-04  5.630E+01
  385  7.971E-01  4.481E-07  2.000E+00  9.999E-05  5.630E+01

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    385, psi = 7.971E-01, q =  2.000

   ising   psi         q          di      re alpha   im alpha

     2  9.350E-01  3.000E+00 -2.579E-01  5.078E-01 -0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  386  7.971E-01  4.739E-05  2.000E+00  9.999E-01  5.630E+01
  387  7.971E-01  2.779E-08  2.000E+00  9.999E-01  5.630E+01
  388  7.971E-01  2.779E-08  2.000E+00  9.999E-01  5.630E+01
  389  7.971E-01  5.558E-08  2.000E+00  9.999E-01  5.630E+01
  390  7.971E-01  5.558E-08  2.000E+00  9.999E-01  5.630E+01
  391  7.971E-01  5.558E-08  2.000E+00  9.999E-01  5.630E+01
  392  7.971E-01  3.299E-07  2.000E+00  9.999E-01  5.630E+01
  393  7.971E-01  3.299E-07  2.000E+00  9.999E-01  5.630E+01
  394  7.971E-01  3.299E-07  2.000E+00  9.999E-01  5.630E+01
  395  7.971E-01  3.299E-07  2.000E+00  9.999E-01  5.630E+01
  396  7.971E-01  9.168E-07  2.000E+00  9.999E-01  5.630E+01
  397  7.971E-01  9.168E-07  2.000E+00  9.999E-01  5.630E+01
  398  7.971E-01  9.168E-07  2.000E+00  9.999E-01  5.630E+01
  399  7.971E-01  9.168E-07  2.000E+00  9.999E-01  5.630E+01
  400  7.971E-01  9.168E-07  2.000E+00  9.999E-01  5.630E+01
  401  7.971E-01  1.428E-06  2.000E+00  9.999E-01  5.630E+01
  402  7.971E-01  1.428E-06  2.000E+00  9.999E-01  5.630E+01
  403  7.971E-01  1.428E-06  2.000E+00  9.999E-01  5.630E+01
  404  7.972E-01  1.428E-06  2.000E+00  9.999E-01  5.630E+01
  405  7.972E-01  1.428E-06  2.000E+00  9.998E-01  5.630E+01
  406  7.972E-01  1.860E-06  2.000E+00  9.998E-01  5.630E+01
  407  7.972E-01  1.860E-06  2.000E+00  9.998E-01  5.630E+01
  408  7.972E-01  1.860E-06  2.000E+00  9.998E-01  5.630E+01
  409  7.972E-01  1.860E-06  2.000E+00  9.998E-01  5.630E+01
  410  7.972E-01  1.860E-06  2.000E+00  9.998E-01  5.630E+01
  411  7.972E-01  2.467E-06  2.000E+00  9.998E-01  5.630E+01
  412  7.972E-01  2.467E-06  2.000E+00  9.998E-01  5.630E+01
  413  7.972E-01  2.467E-06  2.000E+00  9.998E-01  5.630E+01
  414  7.972E-01  2.467E-06  2.000E+00  9.998E-01  5.630E+01
  415  7.972E-01  2.467E-06  2.000E+00  9.998E-01  5.630E+01
  416  7.972E-01  3.314E-06  2.000E+00  9.997E-01  5.630E+01
  417  7.972E-01  3.314E-06  2.000E+00  9.997E-01  5.630E+01
  418  7.972E-01  3.314E-06  2.000E+00  9.997E-01  5.630E+01
  419  7.972E-01  3.314E-06  2.000E+00  9.997E-01  5.630E+01
  420  7.972E-01  3.314E-06  2.000E+00  9.997E-01  5.630E+01
  421  7.972E-01  4.511E-06  2.000E+00  9.997E-01  5.630E+01
  422  7.972E-01  4.511E-06  2.000E+00  9.996E-01  5.630E+01
  423  7.972E-01  4.511E-06  2.000E+00  9.996E-01  5.630E+01
  424  7.972E-01  4.511E-06  2.000E+00  9.996E-01  5.630E+01
  425  7.972E-01  4.511E-06  2.000E+00  9.996E-01  5.630E+01
  426  7.972E-01  6.226E-06  2.000E+00  9.996E-01  5.630E+01
  427  7.972E-01  6.226E-06  2.000E+00  9.995E-01  5.630E+01
  428  7.972E-01  6.226E-06  2.000E+00  9.995E-01  5.630E+01
  429  7.972E-01  6.226E-06  2.001E+00  9.995E-01  5.630E+01
  430  7.972E-01  6.226E-06  2.001E+00  9.995E-01  5.630E+01
  431  7.973E-01  8.718E-06  2.001E+00  9.994E-01  5.630E+01
  432  7.973E-01  8.718E-06  2.001E+00  9.994E-01  5.630E+01
  433  7.973E-01  8.718E-06  2.001E+00  9.993E-01  5.630E+01
  434  7.973E-01  8.718E-06  2.001E+00  9.993E-01  5.630E+01
  435  7.973E-01  8.718E-06  2.001E+00  9.993E-01  5.630E+01
  436  7.973E-01  1.241E-05  2.001E+00  9.992E-01  5.630E+01
  437  7.973E-01  1.241E-05  2.001E+00  9.992E-01  5.630E+01
  438  7.973E-01  1.241E-05  2.001E+00  9.991E-01  5.630E+01
  439  7.973E-01  1.241E-05  2.001E+00  9.991E-01  5.630E+01
  440  7.973E-01  1.241E-05  2.001E+00  9.990E-01  5.630E+01
  441  7.974E-01  1.798E-05  2.001E+00  9.989E-01  5.630E+01
  442  7.974E-01  1.798E-05  2.001E+00  9.989E-01  5.630E+01
  443  7.974E-01  1.798E-05  2.001E+00  9.988E-01  5.630E+01
  444  7.974E-01  1.798E-05  2.001E+00  9.987E-01  5.630E+01
  445  7.974E-01  1.798E-05  2.001E+00  9.986E-01  5.630E+01
  446  7.975E-01  2.657E-05  2.001E+00  9.985E-01  5.630E+01
  447  7.975E-01  2.657E-05  2.002E+00  9.984E-01  5.630E+01
  448  7.975E-01  2.657E-05  2.002E+00  9.983E-01  5.630E+01
  449  7.975E-01  2.657E-05  2.002E+00  9.982E-01  5.630E+01
  450  7.976E-01  2.657E-05  2.002E+00  9.981E-01  5.630E+01
  451  7.976E-01  4.009E-05  2.002E+00  9.979E-01  5.630E+01
  452  7.977E-01  4.009E-05  2.002E+00  9.977E-01  5.630E+01
  453  7.977E-01  4.009E-05  2.002E+00  9.976E-01  5.630E+01
  454  7.977E-01  4.009E-05  2.003E+00  9.974E-01  5.630E+01
  455  7.978E-01  4.009E-05  2.003E+00  9.972E-01  5.630E+01
  456  7.978E-01  6.170E-05  2.003E+00  9.970E-01  5.630E+01
  457  7.979E-01  6.170E-05  2.003E+00  9.967E-01  5.629E+01
  458  7.980E-01  6.170E-05  2.004E+00  9.964E-01  5.629E+01
  459  7.980E-01  6.170E-05  2.004E+00  9.962E-01  5.629E+01
  460  7.981E-01  6.170E-05  2.004E+00  9.959E-01  5.629E+01
  461  7.982E-01  9.647E-05  2.004E+00  9.955E-01  5.629E+01
  462  7.983E-01  9.647E-05  2.005E+00  9.951E-01  5.629E+01
  463  7.984E-01  9.647E-05  2.005E+00  9.947E-01  5.629E+01
  464  7.985E-01  9.647E-05  2.006E+00  9.943E-01  5.629E+01
  465  7.986E-01  9.647E-05  2.006E+00  9.939E-01  5.629E+01
  466  7.987E-01  1.517E-04  2.007E+00  9.932E-01  5.628E+01
  467  7.989E-01  1.517E-04  2.007E+00  9.926E-01  5.628E+01
  468  7.990E-01  1.517E-04  2.008E+00  9.919E-01  5.628E+01
  469  7.992E-01  1.517E-04  2.009E+00  9.913E-01  5.628E+01
  470  7.993E-01  1.517E-04  2.009E+00  9.906E-01  5.628E+01
  471  7.996E-01  2.376E-04  2.010E+00  9.896E-01  5.627E+01
  472  7.998E-01  2.376E-04  2.011E+00  9.886E-01  5.627E+01
  473  8.000E-01  2.376E-04  2.012E+00  9.876E-01  5.627E+01
  474  8.003E-01  2.376E-04  2.013E+00  9.866E-01  5.627E+01
  475  8.005E-01  2.376E-04  2.014E+00  9.855E-01  5.626E+01
  476  8.011E-01  5.854E-04  2.017E+00  9.830E-01  5.626E+01
  477  8.017E-01  5.854E-04  2.020E+00  9.805E-01  5.625E+01
  478  8.023E-01  5.854E-04  2.022E+00  9.779E-01  5.624E+01
  479  8.029E-01  5.854E-04  2.025E+00  9.754E-01  5.623E+01
  480  8.034E-01  5.854E-04  2.027E+00  9.728E-01  5.622E+01
  481  8.050E-01  1.514E-03  2.034E+00  9.661E-01  5.620E+01
  482  8.065E-01  1.514E-03  2.041E+00  9.594E-01  5.618E+01
  483  8.080E-01  1.514E-03  2.047E+00  9.526E-01  5.616E+01
  484  8.095E-01  1.514E-03  2.054E+00  9.458E-01  5.614E+01
  485  8.110E-01  1.514E-03  2.061E+00  9.389E-01  5.611E+01
  486  8.137E-01  2.685E-03  2.074E+00  9.264E-01  5.607E+01
  487  8.164E-01  2.685E-03  2.086E+00  9.138E-01  5.602E+01
  488  8.191E-01  2.685E-03  2.099E+00  9.010E-01  5.597E+01
  489  8.217E-01  2.685E-03  2.112E+00  8.879E-01  5.592E+01
  490  8.244E-01  2.685E-03  2.125E+00  8.746E-01  5.587E+01
  491  8.279E-01  3.423E-03  2.143E+00  8.573E-01  5.580E+01
  492  8.313E-01  3.423E-03  2.160E+00  8.397E-01  5.572E+01
  493  8.347E-01  3.423E-03  2.178E+00  8.216E-01  5.564E+01
  494  8.381E-01  3.423E-03  2.197E+00  8.031E-01  5.555E+01
  495  8.415E-01  3.423E-03  2.216E+00  7.841E-01  5.546E+01
  496  8.455E-01  3.951E-03  2.238E+00  7.617E-01  5.536E+01
  497  8.495E-01  3.951E-03  2.261E+00  7.387E-01  5.524E+01
  498  8.534E-01  3.951E-03  2.285E+00  7.150E-01  5.512E+01
  499  8.574E-01  3.951E-03  2.309E+00  6.906E-01  5.500E+01
  500  8.613E-01  3.951E-03  2.335E+00  6.654E-01  5.487E+01
  501  8.653E-01  3.951E-03  2.360E+00  6.396E-01  5.473E+01
  502  8.692E-01  3.951E-03  2.387E+00  6.129E-01  5.458E+01
  503  8.725E-01  3.279E-03  2.410E+00  5.901E-01  5.446E+01
  504  8.758E-01  3.279E-03  2.433E+00  5.668E-01  5.433E+01
  505  8.790E-01  3.279E-03  2.457E+00  5.428E-01  5.420E+01
  506  8.823E-01  3.279E-03  2.482E+00  5.181E-01  5.406E+01
  507  8.856E-01  3.279E-03  2.507E+00  4.928E-01  5.392E+01
  508  8.889E-01  3.279E-03  2.533E+00  4.668E-01  5.377E+01
  509  8.922E-01  3.279E-03  2.560E+00  4.400E-01  5.362E+01
  510  8.949E-01  2.708E-03  2.583E+00  4.173E-01  5.349E+01
  511  8.976E-01  2.708E-03  2.606E+00  3.940E-01  5.335E+01
  512  9.003E-01  2.708E-03  2.630E+00  3.702E-01  5.321E+01
  513  9.030E-01  2.708E-03  2.654E+00  3.457E-01  5.307E+01
  514  9.057E-01  2.708E-03  2.679E+00  3.206E-01  5.293E+01
  515  9.079E-01  2.241E-03  2.701E+00  2.994E-01  5.281E+01
  516  9.102E-01  2.241E-03  2.722E+00  2.776E-01  5.268E+01
  517  9.124E-01  2.241E-03  2.745E+00  2.554E-01  5.256E+01
  518  9.142E-01  1.824E-03  2.763E+00  2.370E-01  5.245E+01
  519  9.161E-01  1.824E-03  2.782E+00  2.182E-01  5.234E+01
  520  9.179E-01  1.824E-03  2.801E+00  1.991E-01  5.223E+01
  521  9.193E-01  1.417E-03  2.816E+00  1.839E-01  5.214E+01
  522  9.207E-01  1.417E-03  2.831E+00  1.686E-01  5.206E+01
  523  9.221E-01  1.417E-03  2.847E+00  1.530E-01  5.197E+01
  524  9.232E-01  1.076E-03  2.859E+00  1.410E-01  5.190E+01
  525  9.243E-01  1.076E-03  2.871E+00  1.289E-01  5.183E+01
  526  9.252E-01  8.910E-04  2.881E+00  1.187E-01  5.177E+01
  527  9.261E-01  8.910E-04  2.892E+00  1.085E-01  5.171E+01
  528  9.270E-01  8.910E-04  2.902E+00  9.811E-02  5.166E+01
  529  9.276E-01  6.763E-04  2.910E+00  9.018E-02  5.161E+01
  530  9.283E-01  6.763E-04  2.918E+00  8.220E-02  5.157E+01
  531  9.289E-01  5.595E-04  2.924E+00  7.554E-02  5.153E+01
  532  9.294E-01  5.595E-04  2.931E+00  6.885E-02  5.149E+01
  533  9.300E-01  5.595E-04  2.938E+00  6.211E-02  5.145E+01
  534  9.304E-01  4.247E-04  2.943E+00  5.697E-02  5.142E+01
  535  9.309E-01  4.247E-04  2.948E+00  5.180E-02  5.139E+01
  536  9.312E-01  3.512E-04  2.952E+00  4.750E-02  5.137E+01
  537  9.316E-01  3.512E-04  2.957E+00  4.319E-02  5.135E+01
  538  9.319E-01  3.512E-04  2.961E+00  3.887E-02  5.132E+01
  539  9.322E-01  2.669E-04  2.964E+00  3.557E-02  5.130E+01
  540  9.324E-01  2.669E-04  2.968E+00  3.226E-02  5.128E+01
  541  9.327E-01  2.202E-04  2.970E+00  2.952E-02  5.127E+01
  542  9.329E-01  2.202E-04  2.973E+00  2.677E-02  5.125E+01
  543  9.331E-01  1.833E-04  2.976E+00  2.448E-02  5.124E+01
  544  9.332E-01  1.833E-04  2.978E+00  2.218E-02  5.123E+01
  545  9.334E-01  1.518E-04  2.980E+00  2.028E-02  5.122E+01
  546  9.336E-01  1.518E-04  2.982E+00  1.837E-02  5.121E+01
  547  9.337E-01  1.258E-04  2.983E+00  1.678E-02  5.120E+01
  548  9.338E-01  1.258E-04  2.985E+00  1.520E-02  5.119E+01
  549  9.339E-01  1.040E-04  2.986E+00  1.388E-02  5.118E+01
  550  9.340E-01  1.040E-04  2.987E+00  1.257E-02  5.117E+01
  551  9.341E-01  8.590E-05  2.989E+00  1.148E-02  5.117E+01
  552  9.342E-01  8.590E-05  2.990E+00  1.039E-02  5.116E+01
  553  9.343E-01  7.090E-05  2.991E+00  9.491E-03  5.116E+01
  554  9.343E-01  8.147E-06  2.991E+00  9.387E-03  5.116E+01
  555  9.343E-01  8.147E-06  2.991E+00  9.284E-03  5.116E+01
  556  9.343E-01  8.147E-06  2.991E+00  9.181E-03  5.115E+01
  557  9.343E-01  8.147E-06  2.991E+00  9.077E-03  5.115E+01
  558  9.343E-01  8.147E-06  2.991E+00  8.974E-03  5.115E+01
  559  9.343E-01  1.629E-05  2.991E+00  8.767E-03  5.115E+01
  560  9.343E-01  1.629E-05  2.991E+00  8.560E-03  5.115E+01
  561  9.343E-01  1.629E-05  2.992E+00  8.353E-03  5.115E+01
  562  9.344E-01  1.629E-05  2.992E+00  8.146E-03  5.115E+01
  563  9.344E-01  2.883E-05  2.992E+00  7.779E-03  5.115E+01
  564  9.344E-01  2.883E-05  2.993E+00  7.413E-03  5.114E+01
  565  9.344E-01  2.883E-05  2.993E+00  7.046E-03  5.114E+01
  566  9.345E-01  2.883E-05  2.993E+00  6.679E-03  5.114E+01
  567  9.345E-01  2.883E-05  2.994E+00  6.313E-03  5.114E+01
  568  9.345E-01  2.883E-05  2.994E+00  5.946E-03  5.114E+01
  569  9.346E-01  2.883E-05  2.994E+00  5.578E-03  5.113E+01
  570  9.346E-01  2.301E-05  2.995E+00  5.285E-03  5.113E+01
  571  9.346E-01  2.301E-05  2.995E+00  4.992E-03  5.113E+01
  572  9.346E-01  2.301E-05  2.995E+00  4.699E-03  5.113E+01
  573  9.347E-01  2.301E-05  2.996E+00  4.405E-03  5.113E+01
  574  9.347E-01  1.819E-05  2.996E+00  4.173E-03  5.113E+01
  575  9.347E-01  1.819E-05  2.996E+00  3.941E-03  5.113E+01
  576  9.347E-01  1.819E-05  2.996E+00  3.709E-03  5.112E+01
  577  9.347E-01  1.819E-05  2.997E+00  3.477E-03  5.112E+01
  578  9.347E-01  1.438E-05  2.997E+00  3.294E-03  5.112E+01
  579  9.348E-01  1.438E-05  2.997E+00  3.110E-03  5.112E+01

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    580, psi = 9.348E-01, q =  2.997

   is    psifac      dpsi        q       singfac     eval1

  580  9.348E-01  1.438E-05  2.997E+00  2.927E-03  5.112E+01
  581  9.348E-01  2.502E-07  2.997E+00  2.924E-03  5.112E+01
  582  9.348E-01  2.502E-07  2.997E+00  2.920E-03  5.112E+01
  583  9.348E-01  5.004E-07  2.997E+00  2.914E-03  5.112E+01
  584  9.348E-01  5.004E-07  2.997E+00  2.908E-03  5.112E+01
  585  9.348E-01  5.004E-07  2.997E+00  2.901E-03  5.112E+01
  586  9.348E-01  3.206E-06  2.997E+00  2.860E-03  5.112E+01
  587  9.348E-01  3.206E-06  2.997E+00  2.819E-03  5.112E+01
  588  9.348E-01  3.206E-06  2.997E+00  2.778E-03  5.112E+01
  589  9.348E-01  3.206E-06  2.997E+00  2.737E-03  5.112E+01
  590  9.348E-01  7.723E-06  2.997E+00  2.639E-03  5.112E+01
  591  9.348E-01  7.723E-06  2.997E+00  2.540E-03  5.112E+01
  592  9.348E-01  7.723E-06  2.998E+00  2.442E-03  5.112E+01
  593  9.348E-01  7.723E-06  2.998E+00  2.343E-03  5.112E+01
  594  9.348E-01  7.723E-06  2.998E+00  2.244E-03  5.112E+01
  595  9.348E-01  1.008E-05  2.998E+00  2.115E-03  5.112E+01
  596  9.348E-01  1.008E-05  2.998E+00  1.987E-03  5.111E+01
  597  9.349E-01  1.008E-05  2.998E+00  1.858E-03  5.111E+01
  598  9.349E-01  1.008E-05  2.998E+00  1.729E-03  5.111E+01
  599  9.349E-01  1.008E-05  2.998E+00  1.600E-03  5.111E+01
  600  9.349E-01  1.008E-05  2.999E+00  1.471E-03  5.111E+01
  601  9.349E-01  7.943E-06  2.999E+00  1.370E-03  5.111E+01
  602  9.349E-01  7.943E-06  2.999E+00  1.268E-03  5.111E+01
  603  9.349E-01  7.943E-06  2.999E+00  1.167E-03  5.111E+01
  604  9.349E-01  6.332E-06  2.999E+00  1.086E-03  5.111E+01
  605  9.349E-01  6.332E-06  2.999E+00  1.005E-03  5.111E+01
  606  9.349E-01  6.332E-06  2.999E+00  9.236E-04  5.111E+01
  607  9.349E-01  5.029E-06  2.999E+00  8.593E-04  5.111E+01
  608  9.349E-01  5.029E-06  2.999E+00  7.950E-04  5.111E+01
  609  9.349E-01  5.029E-06  2.999E+00  7.306E-04  5.111E+01
  610  9.349E-01  3.999E-06  2.999E+00  6.794E-04  5.111E+01
  611  9.349E-01  3.999E-06  2.999E+00  6.283E-04  5.111E+01
  612  9.350E-01  3.999E-06  2.999E+00  5.771E-04  5.111E+01
  613  9.350E-01  3.170E-06  2.999E+00  5.365E-04  5.111E+01
  614  9.350E-01  3.170E-06  3.000E+00  4.960E-04  5.111E+01
  615  9.350E-01  3.170E-06  3.000E+00  4.554E-04  5.111E+01
  616  9.350E-01  2.501E-06  3.000E+00  4.234E-04  5.111E+01
  617  9.350E-01  2.501E-06  3.000E+00  3.914E-04  5.111E+01
  618  9.350E-01  2.501E-06  3.000E+00  3.594E-04  5.111E+01
  619  9.350E-01  1.971E-06  3.000E+00  3.341E-04  5.111E+01
  620  9.350E-01  1.971E-06  3.000E+00  3.089E-04  5.111E+01
  621  9.350E-01  1.971E-06  3.000E+00  2.837E-04  5.111E+01
  622  9.350E-01  1.552E-06  3.000E+00  2.638E-04  5.110E+01
  623  9.350E-01  1.552E-06  3.000E+00  2.440E-04  5.110E+01
  624  9.350E-01  1.552E-06  3.000E+00  2.241E-04  5.110E+01
  625  9.350E-01  1.224E-06  3.000E+00  2.084E-04  5.110E+01
  626  9.350E-01  1.224E-06  3.000E+00  1.928E-04  5.110E+01
  627  9.350E-01  1.224E-06  3.000E+00  1.771E-04  5.110E+01
  628  9.350E-01  9.663E-07  3.000E+00  1.647E-04  5.110E+01
  629  9.350E-01  9.663E-07  3.000E+00  1.524E-04  5.110E+01
  630  9.350E-01  9.663E-07  3.000E+00  1.400E-04  5.110E+01
  631  9.350E-01  7.639E-07  3.000E+00  1.302E-04  5.110E+01
  632  9.350E-01  7.639E-07  3.000E+00  1.204E-04  5.110E+01
  633  9.350E-01  7.639E-07  3.000E+00  1.106E-04  5.110E+01
  634  9.350E-01  6.040E-07  3.000E+00  1.029E-04  5.110E+01
  635  9.350E-01  2.278E-07  3.000E+00  1.000E-04  5.110E+01

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    635, psi = 9.350E-01, q =  3.000

   is    psifac      dpsi        q       singfac     eval1

  636  9.350E-01  1.562E-05  3.000E+00  9.999E-01  5.110E+01
  637  9.350E-01  1.045E-08  3.000E+00  9.999E-01  5.110E+01
  638  9.350E-01  1.045E-08  3.000E+00  9.999E-01  5.110E+01
  639  9.350E-01  2.091E-08  3.000E+00  9.999E-01  5.110E+01
  640  9.350E-01  2.091E-08  3.000E+00  9.999E-01  5.110E+01
  641  9.350E-01  2.091E-08  3.000E+00  9.999E-01  5.110E+01
  642  9.350E-01  1.315E-07  3.000E+00  9.999E-01  5.110E+01
  643  9.350E-01  1.315E-07  3.000E+00  9.999E-01  5.110E+01
  644  9.350E-01  1.315E-07  3.000E+00  9.999E-01  5.110E+01
  645  9.350E-01  1.315E-07  3.000E+00  9.999E-01  5.110E+01
  646  9.350E-01  3.906E-07  3.000E+00  9.999E-01  5.110E+01
  647  9.350E-01  3.906E-07  3.000E+00  9.999E-01  5.110E+01
  648  9.350E-01  3.906E-07  3.000E+00  9.999E-01  5.110E+01
  649  9.350E-01  3.906E-07  3.000E+00  9.999E-01  5.110E+01
  650  9.350E-01  3.906E-07  3.000E+00  9.999E-01  5.110E+01
  651  9.350E-01  5.176E-07  3.000E+00  9.999E-01  5.110E+01
  652  9.350E-01  5.176E-07  3.000E+00  9.999E-01  5.110E+01
  653  9.350E-01  5.176E-07  3.000E+00  9.998E-01  5.110E+01
  654  9.350E-01  5.176E-07  3.000E+00  9.998E-01  5.110E+01
  655  9.350E-01  5.176E-07  3.000E+00  9.998E-01  5.110E+01
  656  9.350E-01  6.839E-07  3.000E+00  9.998E-01  5.110E+01
  657  9.350E-01  6.839E-07  3.000E+00  9.998E-01  5.110E+01
  658  9.350E-01  6.839E-07  3.000E+00  9.998E-01  5.110E+01
  659  9.350E-01  6.839E-07  3.000E+00  9.998E-01  5.110E+01
  660  9.350E-01  6.839E-07  3.000E+00  9.998E-01  5.110E+01
  661  9.350E-01  9.142E-07  3.000E+00  9.998E-01  5.110E+01
  662  9.350E-01  9.142E-07  3.000E+00  9.998E-01  5.110E+01
  663  9.350E-01  9.142E-07  3.000E+00  9.998E-01  5.110E+01
  664  9.350E-01  9.142E-07  3.000E+00  9.997E-01  5.110E+01
  665  9.350E-01  9.142E-07  3.000E+00  9.997E-01  5.110E+01
  666  9.350E-01  1.236E-06  3.000E+00  9.997E-01  5.110E+01
  667  9.350E-01  1.236E-06  3.000E+00  9.997E-01  5.110E+01
  668  9.350E-01  1.236E-06  3.000E+00  9.997E-01  5.110E+01
  669  9.350E-01  1.236E-06  3.000E+00  9.997E-01  5.110E+01
  670  9.350E-01  1.236E-06  3.000E+00  9.997E-01  5.110E+01
  671  9.350E-01  1.694E-06  3.000E+00  9.996E-01  5.110E+01
  672  9.350E-01  1.694E-06  3.000E+00  9.996E-01  5.110E+01
  673  9.350E-01  1.694E-06  3.000E+00  9.996E-01  5.110E+01
  674  9.350E-01  1.694E-06  3.000E+00  9.996E-01  5.110E+01
  675  9.350E-01  1.694E-06  3.000E+00  9.995E-01  5.110E+01
  676  9.350E-01  2.352E-06  3.000E+00  9.995E-01  5.110E+01
  677  9.350E-01  2.352E-06  3.001E+00  9.995E-01  5.110E+01
  678  9.350E-01  2.352E-06  3.001E+00  9.995E-01  5.110E+01
  679  9.350E-01  2.352E-06  3.001E+00  9.994E-01  5.110E+01
  680  9.350E-01  2.352E-06  3.001E+00  9.994E-01  5.110E+01
  681  9.350E-01  3.316E-06  3.001E+00  9.994E-01  5.110E+01
  682  9.351E-01  3.316E-06  3.001E+00  9.993E-01  5.110E+01
  683  9.351E-01  3.316E-06  3.001E+00  9.993E-01  5.110E+01
  684  9.351E-01  3.316E-06  3.001E+00  9.992E-01  5.110E+01
  685  9.351E-01  3.316E-06  3.001E+00  9.992E-01  5.110E+01
  686  9.351E-01  4.754E-06  3.001E+00  9.991E-01  5.110E+01
  687  9.351E-01  4.754E-06  3.001E+00  9.991E-01  5.110E+01
  688  9.351E-01  4.754E-06  3.001E+00  9.990E-01  5.110E+01
  689  9.351E-01  4.754E-06  3.001E+00  9.989E-01  5.110E+01
  690  9.351E-01  4.754E-06  3.001E+00  9.989E-01  5.110E+01
  691  9.351E-01  6.942E-06  3.001E+00  9.988E-01  5.110E+01
  692  9.351E-01  6.942E-06  3.001E+00  9.987E-01  5.110E+01
  693  9.351E-01  6.942E-06  3.001E+00  9.986E-01  5.110E+01
  694  9.351E-01  6.942E-06  3.001E+00  9.985E-01  5.110E+01
  695  9.351E-01  6.942E-06  3.002E+00  9.984E-01  5.110E+01
  696  9.351E-01  1.034E-05  3.002E+00  9.983E-01  5.109E+01
  697  9.351E-01  1.034E-05  3.002E+00  9.982E-01  5.109E+01
  698  9.352E-01  1.034E-05  3.002E+00  9.980E-01  5.109E+01
  699  9.352E-01  1.034E-05  3.002E+00  9.979E-01  5.109E+01
  700  9.352E-01  1.034E-05  3.002E+00  9.978E-01  5.109E+01
  701  9.352E-01  1.575E-05  3.002E+00  9.976E-01  5.109E+01
  702  9.352E-01  1.575E-05  3.003E+00  9.974E-01  5.109E+01
  703  9.352E-01  1.575E-05  3.003E+00  9.972E-01  5.109E+01
  704  9.352E-01  1.575E-05  3.003E+00  9.970E-01  5.109E+01
