 i psi fs1(2) fs(4) fs1(4) -fs1(1)
  73 0.609584E+00 -.536958E-01 0.254095E+01 0.142588E+01 0.441781E-14
  74 0.621522E+00 -.536958E-01 0.255809E+01 0.144603E+01 -.164018E-13
  75 0.633387E+00 -.536958E-01 0.257537E+01 0.146649E+01 0.610155E-13
  76 0.645171E+00 -.536958E-01 0.259277E+01 0.148725E+01 -.843266E-15
  77 0.656869E+00 -.536958E-01 0.261029E+01 0.150827E+01 -.605693E-13
  78 0.668471E+00 -.536958E-01 0.262791E+01 0.152959E+01 0.161834E-13
  79 0.679973E+00 -.536958E-01 0.264563E+01 0.155118E+01 -.441101E-14
  80 0.691366E+00 -.536958E-01 0.266343E+01 0.157302E+01 0.152997E-14
  81 0.702643E+00 -.536958E-01 0.268129E+01 0.159509E+01 -.172254E-14
  82 0.713799E+00 -.536958E-01 0.269921E+01 0.161738E+01 0.533945E-14
  83 0.724826E+00 -.536958E-01 0.271717E+01 0.163992E+01 -.195319E-13
  84 0.735717E+00 -.536958E-01 0.273515E+01 0.166260E+01 0.723740E-13
  85 0.746467E+00 -.536958E-01 0.275314E+01 0.168546E+01 -.204577E-13
  86 0.757068E+00 -.536958E-01 0.277113E+01 0.170848E+01 0.299773E-14
  87 0.767514E+00 -.536958E-01 0.278910E+01 0.173164E+01 0.156514E-13
  88 0.777800E+00 -.536958E-01 0.280703E+01 0.175493E+01 -.730037E-13
  89 0.787917E+00 -.536958E-01 0.282491E+01 0.177828E+01 0.193914E-13
  90 0.797862E+00 -.536958E-01 0.284271E+01 0.180169E+01 -.514839E-14
  91 0.807627E+00 -.536958E-01 0.286041E+01 0.182513E+01 0.136623E-14
  92 0.817207E+00 -.536958E-01 0.287801E+01 0.184858E+01 -.362376E-15
  93 0.826595E+00 -.536958E-01 0.289547E+01 0.187202E+01 0.960664E-16
  94 0.835788E+00 -.536958E-01 0.291279E+01 0.189540E+01 -.254561E-16
  95 0.844777E+00 -.536958E-01 0.292993E+01 0.191867E+01 0.675143E-17
  96 0.853559E+00 -.536958E-01 0.294688E+01 0.194185E+01 -.182571E-17
  97 0.862129E+00 -.536958E-01 0.296362E+01 0.196486E+01 0.626572E-18
  98 0.870480E+00 -.536958E-01 0.298013E+01 0.198772E+01 -.695154E-18
